Dataset,Layer,Metric,Mean,Std,Min,Max,Range
全数据集,1P,Area,2897.088764330941,3006.861728482394,0.0,11750.51661,11750.51661
MOS1,1P,Area,5530.554997261262,1459.4096235859527,0.0,8718.07577,8718.07577
MOS2,1P,Area,250.31966156214258,1418.2524882841471,0.0,11750.51661,11750.51661
全数据集,1P,Peak,1.486293089362552,0.7780552631568929,0.0,4.01691,4.01691
MOS1,1P,Peak,2.1331436815552394,0.45795023957816167,0.462985,3.44907,2.986085
MOS2,1P,Peak,0.836174952241708,0.3997684483681288,0.0,4.01691,4.01691
全数据集,2P,Area,8491.597969145316,8127.478838891302,0.0,29015.68267,29015.68267
MOS1,2P,Area,15654.506590084398,4702.3442876468,0.0,29015.68267,29015.68267
MOS2,2P,Area,1292.5061460608083,2612.4444494123563,0.0,23499.90768,23499.90768
全数据集,2P,Peak,2.876442964063317,1.6170682065846178,0.0,8.0846,8.0846
MOS1,2P,Peak,4.203362294736842,1.0918608693751708,0.682302,8.0846,7.402298
MOS2,2P,Peak,1.5428207431376284,0.704698786348481,0.0,6.83968,6.83968
全数据集,3P,Area,1100.9300566758568,1911.0508175292396,0.0,15800.87947,15800.87947
MOS1,3P,Area,1930.6235130137504,1985.5669000156806,0.0,13870.7005,13870.7005
MOS2,3P,Area,267.0454305718643,1404.7317727506233,0.0,15800.87947,15800.87947
全数据集,3P,Peak,1.1844500002471836,0.7085501071093138,0.0,5.15551,5.15551
MOS1,3P,Peak,1.6141064637268847,0.6839648790286522,0.116247,5.15551,5.039262999999999
MOS2,3P,Peak,0.7526231409836066,0.40552714438858234,0.0,3.46573,3.46573
全数据集,4P,Area,7173.188600299947,7309.587665167286,0.0,26707.41958,26707.41958
MOS1,4P,Area,13515.546791583687,4834.114059997904,0.0,26707.41958,26707.41958
MOS2,4P,Area,798.7921909321389,1605.9529752672754,0.0,15809.40464,15809.40464
全数据集,4P,Peak,2.7266766474307174,1.6208037633287704,0.0,7.92823,7.92823
MOS1,4P,Peak,4.058818493314367,1.1218206675442837,0.639282,7.92823,7.288948
MOS2,4P,Peak,1.3878055299275638,0.6528469924409588,0.0,6.35742,6.35742
全数据集,5P,Area,2591.3862142967155,3187.88641457415,0.0,23032.10844,23032.10844
MOS1,5P,Area,4475.2798278643895,3084.826786954226,0.0,23032.10844,23032.10844
MOS2,5P,Area,697.9761728297751,1913.282907129384,0.0,18977.65132,18977.65132
全数据集,5P,Peak,4.061814260160669,2.7415600933629074,0.0,17.4966,17.4966
MOS1,5P,Peak,5.995242325367473,2.5254600087684738,0.909881,17.4966,16.586719000000002
MOS2,5P,Peak,2.1186195453678995,1.0616359427854851,0.0,12.0795,12.0795
全数据集,6P,Area,1253.5253283738175,3246.9618550552677,0.0,44976.69392,44976.69392
MOS1,6P,Area,1841.1353459032714,1864.6892898163055,0.0,13592.93597,13592.93597
MOS2,6P,Area,662.9470177706825,4116.950096750569,0.0,44976.69392,44976.69392
全数据集,6P,Peak,13.441959661643772,9.189831758854039,0.911263,119.646,118.734737
MOS1,6P,Peak,18.149083239449975,9.033288568669475,2.8954,72.2336,69.3382
MOS2,6P,Peak,8.711058200724361,6.53249970578115,0.911263,119.646,118.734737
